mutation,crossover,tournament,generations,average train fitness,average test fitness,standard deviation
0.7,0.8,2,150, 0.7779030008453653, 0.6094686621100688, 0.06567878875945904
0.5,0.8,100,150, 0.832454260508637, 0.6446006572726442, 0.06996772168991287
None,0.1,50,150, 0.8943861751405018, 0.6972078394044661, 0.06801974331815358
0.5,0.4,20,150, 0.8347101764461091, 0.6266203586548132, 0.056026886146458364
None,0.7,20,150, 0.9163778933614981, 0.6877723936620517, 0.0681005448654108
None,0.8,2,150, 0.8877846946238194, 0.7031841382904129, 0.06299771399239472
None,0.3,20,150, 0.91222720667332, 0.6581635568116503, 0.0816358378602609
0.7,0.2,100,150, 0.8065434557841892, 0.6248360925031834, 0.05804558180923496
None,0.2,100,150, 0.9048667537533175, 0.693895754294577, 0.06536894144686303
None,0.6,10,150, 0.9165448759262175, 0.6648178777202165, 0.06584534261123207
None,0.5,100,150, 0.9089028773331959, 0.6788708269510971, 0.06084844209320307
0.3,0.6,2,150, 0.8023548557110407, 0.6731364880577568, 0.0715441333380715
None,0.7,50,150, 0.9108541796715215, 0.6815781234167956, 0.06868606557861295
None,0.6,2,150, 0.8960680267709136, 0.658969564136775, 0.07040876949413923
0.3,0.6,20,150, 0.8658325607214827, 0.6493459383970561, 0.06028202522889608
0.3,0.4,10,150, 0.8610518519127138, 0.6701730971122396, 0.07727643815213674
None,0.3,100,150, 0.8986529826014157, 0.6820173253052257, 0.07536350711576882
None,0.2,50,150, 0.9074813754284342, 0.6972511766705726, 0.06622623257830419
None,0.8,100,150, 0.9068152474691066, 0.684019147781542, 0.06912557881651007
0.1,0.6,10,150, 0.9072115226875128, 0.6789679644435485, 0.06500141362475725
0.9,0.2,2,150, 0.7572220262984868, 0.5858266256649441, 0.058330619816979914
0.1,0.8,2,150, 0.8494881945990672, 0.6761622818347014, 0.07164300490007555
0.9,0.2,10,150, 0.7821582739599081, 0.6128147391481186, 0.0601543166189201
0.3,0.4,20,150, 0.867703899194891, 0.651584589011069, 0.055445657921763876
None,0.3,50,150, 0.911357211663166, 0.7006934360403932, 0.08233290917928887
0.9,0.8,20,150, 0.7868731212978964, 0.6270619915716253, 0.09201185117306034
None,0.4,2,150, 0.8949371926375042, 0.680507506014883, 0.06412207375895808
0.1,0.8,20,150, 0.9055517635404542, 0.702976172873519, 0.06334757708655255
None,0.3,2,150, 0.8962545200423631, 0.7014197049270653, 0.07712008568966636
None,0.1,100,150, 0.9046504843727043, 0.6932729973315733, 0.06752338757327374
0.1,0.2,100,150, 0.9014360940858935, 0.6853490690552868, 0.06895678496213918
None,0.1,10,150, 0.898183193290375, 0.6733015342196658, 0.060507215127753464
0.5,0.8,50,150, 0.8378726038403929, 0.65726446849947, 0.08069180402594363
None,0.6,20,150, 0.9149101273446235, 0.6768039315921808, 0.0697600583746956
0.5,0.6,2,150, 0.7902081277756803, 0.654503200668094, 0.08080434510054198
None,0.4,20,150, 0.9188594442628576, 0.6736586420664302, 0.08034076207135733
None,0.4,50,150, 0.9128955467087925, 0.6563983511507595, 0.07101767029122345
0.5,0.4,100,150, 0.8361488468331436, 0.6139689118093461, 0.07107443712110513
0.9,0.6,10,150, 0.7927284061797198, 0.627147421636365, 0.07294881323022524
0.1,0.2,2,150, 0.8640984162758628, 0.6470968930302893, 0.048183332775134584
0.1,0.8,100,150, 0.8873815658511205, 0.6733604756274985, 0.053841130323957896
0.3,0.8,2,150, 0.8043436131960301, 0.6252499273220774, 0.07417746543386787
0.5,0.2,2,150, 0.7779123543203192, 0.6316755964588695, 0.0729602086383638
0.3,0.2,20,150, 0.8648228593187279, 0.6412751387453555, 0.056277190273192765
0.7,0.8,50,150, 0.8132989748007532, 0.6544212000333196, 0.0782055070435047
0.3,0.4,50,150, 0.8638065208931057, 0.6613411864526358, 0.0714361711189991
None,0.7,2,150, 0.8955781786215936, 0.6754838868728484, 0.07548320260883214
0.7,0.6,50,150, 0.8130025152949727, 0.6283394762653933, 0.08752347744530732
0.7,0.6,20,150, 0.8075709610209241, 0.6213245250458542, 0.05766229271122652
0.9,0.2,100,150, 0.774133151918292, 0.5911108941861453, 0.06503634399934925
0.9,0.8,50,150, 0.7873466300976688, 0.6031114390530935, 0.07743931604778756
0.7,0.2,2,150, 0.7727164973856137, 0.6266858012203638, 0.08059846085034829
0.7,0.6,2,150, 0.777005000681967, 0.6349806283415842, 0.06244000153441585
0.5,0.6,10,150, 0.8262356882339562, 0.6441458183400766, 0.0675918137154439
None,0.8,50,150, 0.9212486312445606, 0.6744217246009808, 0.06430210677521245
0.9,0.6,20,150, 0.7823688486609661, 0.6406010511539537, 0.05113832130868787
